,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored)
0,The Weeknd,[2674162],0.514,0.73,0.334,171.005,-5.934,1,1,0.00146,9.54e-05,0.0897,0.0598,0,200040,100,2020,3/20/2020,Blinding Lights
16,The Weeknd,"[2674162, 667669]",0.679,0.5870000000000001,0.486,186.003,-7.015,1,7,0.141,6.35e-06,0.13699999999999998,0.276,1,230453,84,2016,11/25/2016,Starboy
20,The Weeknd,"[2674162, 667669]",0.679,0.5870000000000001,0.486,186.003,-7.015,1,7,0.141,6.35e-06,0.13699999999999998,0.276,1,230453,84,2016,11/25/2016,Starboy
25,Nate Dogg,[373592],0.5479999999999999,0.847,0.1,171.447,-3.237,1,1,0.0622,0.0,0.0816,0.18600000000000005,1,297787,83,2002,5/26/2002,'Till I Collapse
37,The Weeknd,[2674162],0.461,0.593,0.175,134.17,-4.954,1,1,0.17,0.0,0.307,0.0356,0,228373,82,2018,3/30/2018,**** Out My Name
72,Alicia Keys,[5307],0.644,0.5479999999999999,0.166,90.042,-5.416,0,1,0.0209,8.68e-06,0.134,0.0286,0,253813,79,2007,11/9/2007,No One
77,Ty Dolla $ign,"[2659130, 2674162]",0.805,0.33,0.211,121.97,-8.712,0,1,0.22,0.0,0.105,0.1,1,242983,79,2014,6/10/2014,"Or Nah (feat. The Weeknd, Wiz Khalifa & DJ ******** - Remix"
87,The Temptations,[569685],0.5720000000000001,0.418,0.6940000000000001,104.566,-10.738,1,0,0.635,0.0,0.0961,0.0349,0,165000,79,1965,3/22/1965,My ****
94,Ben E. King,[164594],0.65,0.306,0.605,118.068,-9.443,1,9,0.57,7.07e-06,0.0707,0.0393,0,180056,78,1962,8/20/1962,Stand by Me
115,Frank Ocean,[2592086],0.466,0.5479999999999999,0.423,89.815,-9.362,0,5,0.42,1.01e-06,0.113,0.118,1,307151,78,2016,8/20/2016,******
117,The Weeknd,[2674162],0.66,0.382,0.436,119.875,-5.919,0,2,0.391,0.0,0.0972,0.0304,0,252227,78,2014,12/23/2014,"Earned It (Fifty Shades Of Grey) - From The ""Fifty Shades Of Grey"" Soundtrack"
132,Kelly Rowland,[73682],0.727,0.552,0.607,168.18900000000005,-8.074,0,2,0.227,0.000164,0.198,0.14,1,289160,77,2002,6/25/2002,Dilemma
161,The Jackson 5,[83013],0.469,0.5379999999999999,0.8859999999999999,196.605,-13.559,1,8,0.305,0.00012,0.37,0.0571,0,176333,76,1969,12/18/1969,I Want You Back
165,Ty Dolla $ign,[2659130],0.7829999999999999,0.524,0.153,144.989,-6.8279999999999985,1,1,0.0404,0.0,0.087,0.115,1,172320,76,2019,12/6/2019,Bacc Seat (feat. Ty Dolla $ign)
177,Frank Ocean,[2592086],0.861,0.647,0.67,158.037,-7.425,1,7,0.594,0.6609999999999999,0.114,0.0675,1,133680,76,2019,11/2/2019,In My Room
180,Whitney Houston,[820434],0.306,0.214,0.108,66.98,-12.518,1,4,0.8440000000000001,5.3e-06,0.0839,0.0356,0,271093,76,1992,11/17/1992,I Will Always Love You
181,Destiny's Child,[210991],0.713,0.6779999999999999,0.7340000000000001,138.009,-3.525,0,5,0.273,0.0,0.149,0.102,0,271333,76,1999,7/27/1999,Say My Name
189,Ty Dolla $ign,[2659130],0.872,0.8140000000000001,0.57,98.985,-4.5680000000000005,1,0,0.00485,1.96e-06,0.214,0.155,1,199427,76,2019,8/9/2019,Hot **** Summer (feat. Nicki Minaj & Ty Dolla $ign)
203,The Weeknd,[2674162],0.467,0.608,0.108,80.957,-7.847,1,10,0.0909,8.83e-05,0.125,0.0707,1,211400,76,2020,3/20/2020,Hardest To Love
204,Stevie Wonder,[622805],0.675,0.597,0.828,108.875,-11.329,1,5,0.0534,0.0,0.0986,0.0337,0,161160,76,1970,8/7/1970,"Signed, Sealed, Delivered (I'm Yours)"
205,The Jackson 5,[83013],0.469,0.5379999999999999,0.8859999999999999,196.605,-13.559,1,8,0.305,0.00012,0.37,0.0571,0,176333,76,1969,12/18/1969,I Want You Back
207,Miguel,[2570457],0.843,0.435,0.19,120.058,-8.442,1,8,0.47,0.0,0.147,0.17800000000000002,1,208080,75,2015,9/18/2015,Weekend (feat. Miguel)
234,The Weeknd,[2674162],0.638,0.863,0.226,120.077,-5.221,0,4,0.052000000000000005,5.460000000000001e-05,0.685,0.132,1,239973,75,2020,3/20/2020,Too Late
