,influencer_id,influencer_name,influencer_main_genre,influencer_active_start
0,286662,Sam Bush,Country,1960
1,13384,Tanya Tucker,Country,1970
2,19241,Patty Loveless,Country,1970
3,65397,Bobbie Gentry,Country,1960
4,86312,The Judds,Country,1980
5,99753,Connie Smith,Country,1960
6,136640,Tammy Wynette,Country,1960
7,175286,Dolly Parton,Country,1950
8,210512,Janie Fricke,Country,1970
9,234325,Loretta Lynn,Country,1960
10,409954,Ray Price,Country,1940
11,749175,Skeeter Davis,Country,1950
12,804289,Lynn Anderson,Country,1960
13,816890,Johnny Cash,Country,1950
14,245039,Vassar Clements,Country,1950
15,389979,Ralph Stanley,Country,1940
16,778568,J.D. Crowe & the New South,Country,1970
17,334740,Ronnie Milsap,Country,1960
18,1433,Pam Tillis,Country,1980
19,133057,Jo Dee Messina,Country,1990
20,161808,Shania Twain,Country,1990
21,162269,Faith Hill,Country,1990
22,162487,Dixie Chicks,Country,1980
23,227088,Deana Carter,Country,1990
24,286115,Lorrie Morgan,Country,1970
25,340446,McBride & the Ride,Country,1980
26,368112,Martina McBride,Country,1990
27,495861,Mindy McCready,Country,1990
28,749476,Trisha Yearwood,Country,1990
29,750131,Terri Clark,Country,1990
30,858375,Mary Chapin Carpenter,Country,1980
31,15318,Travis Tritt,Country,1980
32,81561,Keith Whitley,Country,1970
33,207127,Ricky Van Shelton,Country,1980
34,214162,Vince Gill,Country,1970
35,251375,Johnny Paycheck,Country,1950
36,300749,Sammy Kershaw,Country,1990
37,396676,Randy Travis,Country,1970
38,522768,Brooks & Dunn,Country,1990
39,605375,Alan Jackson,Country,1990
40,792370,Clint Black,Country,1980
41,798248,Garth Brooks,Country,1980
42,944084,George Strait,Country,1970
43,169536,Ferlin Husky,Country,1950
44,490549,Anne Murray,Country,1960
45,117844,"Hank Williams, Jr.",Country,1950
46,200791,Waylon Jennings,Country,1950
47,320761,Ricky Skaggs,Country,1970
48,410219,Merle Haggard,Country,1960
49,471156,Mickey Gilley,Country,1960
50,573100,Daryle Singletary,Country,1990
51,791483,Dwight Yoakam,Country,1970
52,14651,Patsy Cline,Country,1950
53,629609,David Allan Coe,Country,1960
54,664378,Glen Campbell,Country,1950
55,868456,Melba Montgomery,Country,1960
56,934069,Brenda Lee,Country,1950
57,944310,George Jones,Country,1950
58,285272,Rosanne Cash,Country,1970
59,774588,Kris Kristofferson,Country,1960
60,98189,Kitty Wells,Country,1940
61,193160,The Maddox Brothers & Rose,Country,1930
62,380704,Red Foley,Country,1940
63,549797,Hank Williams,Country,1930
64,796741,Eddy Arnold,Country,1940
65,848784,Roy Acuff,Country,1930
66,69986,Kenny Rogers,Country,1950
67,72205,Billy Joe Shaver,Country,1960
68,159699,Emmylou Harris,Country,1960
69,294085,Rodney Crowell,Country,1970
70,637150,David Frizzell,Country,1970
71,806247,Charlie Daniels,Country,1950
72,132449,Crystal Gayle,Country,1970
73,232701,Jeannie C. Riley,Country,1960
74,362437,Kathy Mattea,Country,1970
75,409968,Reba McEntire,Country,1970
76,837946,Juice Newton,Country,1970
77,838300,June Carter Cash,Country,1950
78,823012,Dillard & Clark,Country,1960
79,74970,Bob Wills,Country,1930
80,246022,Merle Travis,Country,1930
81,85410,Billy Joe Royal,Country,1950
82,142050,Carlene Carter,Country,1970
83,307875,Nanci Griffith,Country,1970
84,281254,Lonestar,Country,1990
85,393789,Restless Heart,Country,1980
86,510805,Toby Keith,Country,1990
87,583959,Willie Nelson,Country,1950
88,592954,Tim McGraw,Country,1990
89,681171,Highway 101,Country,1980
90,787960,Joe Diffie,Country,1980
91,936206,Alabama,Country,1970
92,941579,Buck Owens,Country,1940
93,887348,The Oak Ridge Boys,Country,1940
94,278575,Hoyt Axton,Country,1960
95,190632,Dottie West,Country,1950
96,185615,Gary Stewart,Country,1960
97,353145,Roy Rogers,Country,1930
98,82742,Iris DeMent,Country,1990
99,845468,Jerry Jeff Walker,Country,1960
100,68551,Kenny Chesney,Country,1990
101,283405,Mark Chesnutt,Country,1980
102,767370,Billy Dean,Country,1980
103,926108,Montgomery Gentry,Country,1990
104,26510,Terry Allen,Country,1970
105,152002,Joe Ely,Country,1970
106,218994,John Anderson,Country,1970
107,337271,Jessi Colter,Country,1960
108,515628,Tom T. Hall,Country,1960
109,543867,Guy Clark,Country,1970
110,662800,Hank Snow,Country,1930
111,34249,Steve Earle,Country,1980
112,858710,Marty Robbins,Country,1940
113,903609,Jim Reeves,Country,1930
114,578031,The Statler Brothers,Country,1950
115,190946,Lefty Frizzell,Country,1950
116,94205,Chet Atkins,Country,1940
117,165818,Charley Pride,Country,1960
118,196248,Don Williams,Country,1960
119,81083,Bill Monroe,Country,1940
120,809396,David Grisman,Country,1970
121,45057,The Louvin Brothers,Country,1940
122,87113,The Jordanaires,Country,1940
123,334829,Jim & Jesse,Country,1940
124,577720,The Stanley Brothers,Country,1940
125,81619,Keith Urban,Country,1990
126,659299,Gary Allan,Country,1990
127,789721,Earl Thomas Conley,Country,1970
128,842269,Vern Gosdin,Country,1960
129,12180,Trace Adkins,Country,1990
130,207644,The Charlie Daniels Band,Country,1970
131,179730,Charlie Rich,Country,1950
132,807489,Charlie Louvin,Country,1950
133,764890,Ian Tyson,Country,1960
134,227527,Flatt & Scruggs,Country,1940
135,29334,Slim Whitman,Country,1940
136,780451,Conway Twitty,Country,1950
137,44751,Steve Wariner,Country,1970
138,378041,Marty Stuart,Country,1970
139,794846,Eddie Rabbitt,Country,1970
140,153519,Earl Scruggs,Country,1940
141,151431,Roger Miller,Country,1950
142,198783,Johnny Horton,Country,1950
143,66429,Bobby Bare,Country,1950
144,200775,Ernest Tubb,Country,1930
145,334644,Jerry Reed,Country,1950
146,762821,Big & Rich,Country,1990
147,76561,Billy Ray Cyrus,Country,1980
148,811897,John Michael Montgomery,Country,1990
149,407300,Mel Tillis,Country,1950
150,562030,Hawkshaw Hawkins,Country,1940
151,885875,Michael Martin Murphey,Country,1960
152,186125,Mac McAnally,Country,1970
153,196690,Lee Greenwood,Country,1970
154,399659,The Mavericks,Country,1980
155,939565,Bryan White,Country,1990
156,788569,Barbara Mandrell,Country,1950
157,686560,Wynonna,Country,1990
158,337856,Mother Maybelle Carter,Country,1950
159,947816,Hank Thompson,Country,1940
160,296601,Lionel Cartwright,Country,1980
161,385879,Radney Foster,Country,1990
162,662642,Hal Ketchum,Country,1980
163,32193,Tex Williams,Country,1940
164,355451,Porter Wagoner,Country,1950
165,141256,Joe Maphis,Country,1940
166,296402,Jimmy Bryant,Country,1940
167,237517,Lee Hazlewood,Country,1960
168,683065,Wynn Stewart,Country,1950
169,146354,The Del McCoury Band,Country,1960
170,75801,The Highwaymen,Country,1980
171,350585,Pirates of the Mississippi,Country,1980
172,221603,John Hartford,Country,1950
173,234488,Del McCoury,Country,1960
174,269172,Lester Flatt,Country,1940
175,788568,The Dillards,Country,1960
176,622379,Asleep at the Wheel,Country,1970
177,189701,Jean Shepard,Country,1950
178,820999,The Wilburn Brothers,Country,1940
179,64199,Jimmy Martin,Country,1940
180,163198,Carl Smith,Country,1940
181,20403,Tennessee Ernie Ford,Country,1940
182,202033,Tony Trischka,Country,1970
183,461737,Old & In the Way,Country,1970
184,11242,Sheb Wooley,Country,1940
185,184814,Don Gibson,Country,1940
186,198901,Webb Pierce,Country,1950
187,516706,Tommy Collins,Country,1950
188,188342,Freddy Fender,Country,1950
189,753237,Suzy Bogguss,Country,1970
190,352999,K.T. Oslin,Country,1970
191,21292,Shenandoah,Country,1980
192,118189,Clay Walker,Country,1990
193,143951,Faron Young,Country,1950
194,220946,David Houston,Country,1960
195,131178,James Burton,Country,1960
196,791480,Exile,Country,1960
197,837985,Sawyer Brown,Country,1980
198,57840,B.J. Thomas,Country,1960
199,144349,Ed Bruce,Country,1960
200,185669,Mac Davis,Country,1960
201,194063,Lee Ann Womack,Country,1990
202,477954,Moe Bandy,Country,1960
203,738674,Donna Fargo,Country,1960
204,341652,Roy Clark,Country,1950
205,269390,Homer & Jethro,Country,1930
206,326096,Jerry Byrd,Country,1940
207,742166,Speedy West,Country,1950
208,746387,Tracy Lawrence,Country,1990
209,300583,Junior Brown,Country,1980
210,90079,Chely Wright,Country,1990
211,580058,Aaron Tippin,Country,1980
212,650525,George Morgan,Country,1940
213,20760,Shelby Lynne,Country,1980
214,248920,Sara Evans,Country,1990
215,139709,The Country Gentlemen,Country,1950
216,163577,Doug Kershaw,Country,1950
217,801762,Floyd Cramer,Country,1950
218,314346,Little Jimmy Dickens,Country,1930
219,391519,New Grass Revival,Country,1970
220,106916,Chris Cagle,Country,1990
221,257787,Little Big Town,Country,1990
222,610880,Brad Paisley,Country,1990
223,868174,Rascal Flatts,Country,1990
224,130855,Tony Rice,Country,1970
225,222601,Hot Rize,Country,1970
226,293391,Mark O'Connor,Country,1970
227,327130,Jerry Douglas,Country,1970
228,472735,Rhonda Vincent,Country,1960
229,593129,Tim O'Brien,Country,1970
230,745071,Alison Krauss,Country,1980
231,836017,Scott Nygaard,Country,1970
232,921289,Stuart Duncan,Country,1990
233,126903,Cindy Walker,Country,1950
234,286530,Jessica Andrews,Country,1990
235,106514,Boots Randolph,Country,1960
236,927795,Tift Merritt,Country,1990
237,414291,Ray Wylie Hubbard,Country,1970
238,756959,Steve Young,Country,1960
239,759224,Blaze Foley,Country,1970
240,216586,John Conlee,Country,1970
