,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year
danceability,1,0.131676829,0.547285199,-0.097433675,0.184253061,-0.020756418,0.009716699,-0.159330939,-0.20576997,-0.133700708,0.077828328,0.05444373,-0.097492476,0.175577113,0.167703663
energy,0.131676829,1,0.372055012,0.251888748,0.783276854,-0.026331903,0.02622998,-0.748442534,-0.200428257,0.158778462,0.124951559,0.139262789,0.019355958,0.386649505,0.462338997
valence,0.547285199,0.372055012,1,0.152593846,0.27449919,0.018449546,0.023783351,-0.222926451,-0.1849165,-0.002179951,0.034256533,-0.051960849,-0.193356532,0.020777927,-0.023692372
tempo,-0.097433675,0.251888748,0.152593846,1,0.199169558,0.005350506,0.009248478,-0.204497805,-0.079363842,0.035246932,0.048801782,0.011473317,-0.020012563,0.090768769,0.10570818
loudness,0.184253061,0.783276854,0.27449919,0.199169558,1,-0.000153425,0.01705195,-0.587181571,-0.361917523,0.067758686,0.035003953,0.151950418,-0.0370027,0.422792039,0.480683205
mode,-0.020756418,-0.026331903,0.018449546,0.005350506,-0.000153425,1,-0.11676979,0.031073259,-0.065593434,0.018110716,-0.04500867,-0.051533244,-0.077356781,-0.032562023,-0.031740621
key,0.009716699,0.02622998,0.023783351,0.009248478,0.01705195,-0.11676979,1,-0.018734005,-0.002396095,-0.002092918,0.016225872,-0.000743926,-0.004599817,0.011713225,0.017819486
acousticness,-0.159330939,-0.748442534,-0.222926451,-0.204497805,-0.587181571,0.031073259,-0.018734005,1,0.220488186,-0.044400602,-0.018972644,-0.148232827,-0.091458679,-0.478454425,-0.55249709
instrumentalness,-0.20576997,-0.200428257,-0.1849165,-0.079363842,-0.361917523,-0.065593434,-0.002396095,0.220488186,1,-0.030977479,-0.065941923,-0.050041853,0.11957985,-0.230075014,-0.217317036
liveness,-0.133700708,0.158778462,-0.002179951,0.035246932,0.067758686,0.018110716,-0.002092918,-0.044400602,-0.030977479,1,0.201423581,0.022151218,0.058425163,-0.060990462,-0.024560421
speechiness,0.077828328,0.124951559,0.034256533,0.048801782,0.035003953,-0.04500867,0.016225872,-0.018972644,-0.065941923,0.201423581,1,0.190607988,-0.018525054,-0.006369768,0.044570775
explicit,0.05444373,0.139262789,-0.051960849,0.011473317,0.151950418,-0.051533244,-0.000743926,-0.148232827,-0.050041853,0.022151218,0.190607988,1,0.010659836,0.186826232,0.235868555
duration_ms,-0.097492476,0.019355958,-0.193356532,-0.020012563,-0.0370027,-0.077356781,-0.004599817,-0.091458679,0.11957985,0.058425163,-0.018525054,0.010659836,1,0.056057389,0.074332425
popularity,0.175577113,0.386649505,0.020777927,0.090768769,0.422792039,-0.032562023,0.011713225,-0.478454425,-0.230075014,-0.060990462,-0.006369768,0.186826232,0.056057389,1,0.773853383
year,0.167703663,0.462338997,-0.023692372,0.10570818,0.480683205,-0.031740621,0.017819486,-0.55249709,-0.217317036,-0.024560421,0.044570775,0.235868555,0.074332425,0.773853383,1
