,influencer_id,influencer_name,influencer_main_genre,influencer_active_start
0,759491,The Exploited,Pop/Rock,1980
2,66915,Bob Dylan,Pop/Rock,1960
3,71209,Leonard Cohen,Pop/Rock,1950
4,91438,The Gun Club,Pop/Rock,1980
5,113823,Chrissie Hynde,Pop/Rock,1970
6,132710,Crime & the City Solution,Pop/Rock,1980
7,208582,Lesley Gore,Pop/Rock,1960
9,397880,Nick Cave,Pop/Rock,1970
10,489999,The Raincoats,Pop/Rock,1970
11,492331,Pretenders,Pop/Rock,1970
12,615119,Tom Waits,Pop/Rock,1970
13,651107,Marianne Faithfull,Pop/Rock,1960
14,747445,Patti Smith,Pop/Rock,1970
15,755156,Sonic Youth,Pop/Rock,1980
16,838272,Pere Ubu,Pop/Rock,1970
17,895136,Pixies,Pop/Rock,1980
18,899530,The Smiths,Pop/Rock,1980
19,960690,X,Pop/Rock,1970
20,988638,Captain Beefheart,Pop/Rock,1960
21,75264,Bad Brains,Pop/Rock,1970
22,91650,Black Flag,Pop/Rock,1970
23,112789,Korn,Pop/Rock,1990
24,134729,Faith No More,Pop/Rock,1980
26,295756,Santana,Pop/Rock,1960
27,359326,Primus,Pop/Rock,1990
28,446509,Metallica,Pop/Rock,1980
29,485135,311,Pop/Rock,1990
30,579839,Suicidal Tendencies,Pop/Rock,1980
31,741746,Sepultura,Pop/Rock,1980
32,789064,Extreme,Pop/Rock,1980
33,790820,Tool,Pop/Rock,1990
34,796045,Fishbone,Pop/Rock,1970
35,806829,Jane's Addiction,Pop/Rock,1980
36,825087,Living Colour,Pop/Rock,1980
37,863790,Rage Against the Machine,Pop/Rock,1990
38,883318,Red Hot Chili Peppers,Pop/Rock,1980
41,748421,Trey Anastasio,Pop/Rock,1980
42,5953,Alice Cooper,Pop/Rock,1960
44,59537,Blue Cheer,Pop/Rock,1960
45,61938,Blue ?–yster Cult,Pop/Rock,1960
47,81493,Killing Joke,Pop/Rock,1970
48,84209,Kiss,Pop/Rock,1970
50,130932,Crazy Horse,Pop/Rock,1960
51,139026,Led Zeppelin,Pop/Rock,1960
52,182598,MC5,Pop/Rock,1960
54,200968,Gene Simmons,Pop/Rock,1960
55,349157,Melvins,Pop/Rock,1980
56,354105,Jimi Hendrix,Pop/Rock,1960
57,379125,Neil Young,Pop/Rock,1960
60,485791,Wipers,Pop/Rock,1970
61,490004,Ramones,Pop/Rock,1970
62,503913,Mountain,Pop/Rock,1960
63,562304,The Stooges,Pop/Rock,1960
64,574772,AC/DC,Pop/Rock,1970
65,604852,Aerosmith,Pop/Rock,1970
66,623985,Budgie,Pop/Rock,1960
67,754032,The Beatles,Pop/Rock,1960
69,771438,Black Sabbath,Pop/Rock,1960
70,772567,Iron Butterfly,Pop/Rock,1960
71,840402,The Velvet Underground,Pop/Rock,1960
72,8828,Spice Girls,Pop/Rock,1990
73,81403,Boney M.,Pop/Rock,1970
74,546214,Gwen Stefani,Pop/Rock,1980
75,628467,Britney Spears,Pop/Rock,1990
88,50493,Soulfly,Pop/Rock,1990
89,96977,In Flames,Pop/Rock,1990
90,97325,Biohazard,Pop/Rock,1980
91,219966,Vision of Disorder,Pop/Rock,1990
92,561105,Hatebreed,Pop/Rock,1990
93,607053,At the Gates,Pop/Rock,1990
101,38936,Simon & Garfunkel,Pop/Rock,1950
102,41874,The Beach Boys,Pop/Rock,1960
105,642542,Burt Bacharach,Pop/Rock,1950
113,346336,Pink Floyd,Pop/Rock,1960
118,840102,Jefferson Airplane,Pop/Rock,1960
119,988440,Grateful Dead,Pop/Rock,1960
120,133969,Joan Armatrading,Pop/Rock,1970
129,112462,Cream,Pop/Rock,1960
132,187478,Eric Clapton,Pop/Rock,1960
133,192382,Deep Purple,Pop/Rock,1960
134,240865,Jeff Beck,Pop/Rock,1960
135,255371,Leslie West,Pop/Rock,1960
137,489303,The Yardbirds,Pop/Rock,1960
139,831381,Robin Trower,Pop/Rock,1960
140,894465,The Rolling Stones,Pop/Rock,1960
141,18977,Barry Manilow,Pop/Rock,1970
142,19297,America,Pop/Rock,1970
143,297894,Poco,Pop/Rock,1960
144,517607,Brand New,Pop/Rock,2000
145,583618,Sunny Day Real Estate,Pop/Rock,1990
146,626463,Stone Temple Pilots,Pop/Rock,1990
147,859509,Quicksand,Pop/Rock,1990
152,649950,George Martin,Pop/Rock,1950
163,131627,Creedence Clearwater Revival,Pop/Rock,1960
164,137580,The Cramps,Pop/Rock,1970
165,170369,Lynyrd Skynyrd,Pop/Rock,1960
166,207735,Charlie Feathers,Pop/Rock,1950
167,240311,Link Wray,Pop/Rock,1950
168,289177,Sam the Sham & the Pharaohs,Pop/Rock,1960
170,332141,Jerry Lee Lewis,Pop/Rock,1950
171,519637,Brian Setzer,Pop/Rock,1980
172,578028,Mojo Nixon,Pop/Rock,1980
173,584923,Dave Edmunds,Pop/Rock,1960
174,690254,ZZ Top,Pop/Rock,1970
175,744265,Tony Joe White,Pop/Rock,1960
176,767068,Keith Richards,Pop/Rock,1960
178,921965,The Ventures,Pop/Rock,1950
179,923384,Molly Hatchet,Pop/Rock,1970
184,123007,The Dickies,Pop/Rock,1970
185,490141,The Weirdos,Pop/Rock,1970
188,31380,Paula Abdul,Pop/Rock,1980
189,122754,Cyndi Lauper,Pop/Rock,1970
192,237205,Madonna,Pop/Rock,1980
195,664817,Gloria Estefan,Pop/Rock,1970
197,100160,The Kinks,Pop/Rock,1960
198,577627,The Who,Pop/Rock,1960
218,887806,Oleta Adams,Pop/Rock,1980
221,22124,Slayer,Pop/Rock,1980
224,98465,Iron Maiden,Pop/Rock,1970
225,105422,Corrosion of Conformity,Pop/Rock,1980
226,163386,Exhorder,Pop/Rock,1980
228,246611,Judas Priest,Pop/Rock,1960
229,260206,Van Halen,Pop/Rock,1970
230,287259,Saint Vitus,Pop/Rock,1980
231,315403,Venom,Pop/Rock,1970
232,371258,Napalm Death,Pop/Rock,1980
233,386253,Negative Approach,Pop/Rock,1980
234,406294,Megadeth,Pop/Rock,1980
235,424244,Ozzy Osbourne,Pop/Rock,1960
237,490952,Anthrax,Pop/Rock,1980
238,501407,Mot??rhead,Pop/Rock,1970
239,561715,Godflesh,Pop/Rock,1980
241,588450,Annihilator,Pop/Rock,1980
243,673208,Manowar,Pop/Rock,1980
244,749970,Ted Nugent,Pop/Rock,1950
245,751910,Testament,Pop/Rock,1980
247,925852,Anvil,Pop/Rock,1970
248,957085,Danzig,Pop/Rock,1980
249,1098,Soundgarden,Pop/Rock,1980
252,223627,John Frusciante,Pop/Rock,1980
254,280956,Rollins Band,Pop/Rock,1980
255,351733,Nine Inch Nails,Pop/Rock,1980
256,357406,Nirvana,Pop/Rock,1980
257,388198,Neurosis,Pop/Rock,1980
260,506513,Mr. Bungle,Pop/Rock,1980
261,572737,Helmet,Pop/Rock,1980
268,825251,Marilyn Manson,Pop/Rock,1980
272,120521,Chuck Berry,Pop/Rock,1950
273,180228,Elvis Presley,Pop/Rock,1950
278,799053,Donovan,Pop/Rock,1960
279,824022,Little Richard,Pop/Rock,1950
282,22928,Steppenwolf,Pop/Rock,1960
284,46120,The Amboy Dukes,Pop/Rock,1960
286,76057,King Crimson,Pop/Rock,1960
288,114342,The Doors,Pop/Rock,1960
289,137474,Laura Nyro,Pop/Rock,1960
290,138699,Frank Zappa,Pop/Rock,1950
294,311674,Vanilla Fudge,Pop/Rock,1960
299,489676,The Pretty Things,Pop/Rock,1960
321,37730,Pearl Jam,Pop/Rock,1990
322,39258,Paul Westerberg,Pop/Rock,1980
323,47789,BoDeans,Pop/Rock,1980
324,51992,Big Star,Pop/Rock,1970
326,78741,The Connells,Pop/Rock,1980
327,130173,Crowded House,Pop/Rock,1980
328,184043,Foo Fighters,Pop/Rock,1990
329,287917,Lindsey Buckingham,Pop/Rock,1960
330,350840,Jimmy Buffett,Pop/Rock,1960
331,387530,Matthew Sweet,Pop/Rock,1980
332,490554,The Posies,Pop/Rock,1980
333,612716,Tom Petty,Pop/Rock,1970
334,853492,Marshall Crenshaw,Pop/Rock,1980
335,898479,The Smithereens,Pop/Rock,1980
336,936425,Todd Rundgren,Pop/Rock,1960
337,987491,Gram Parsons,Pop/Rock,1960
338,11707,Steely Dan,Pop/Rock,1970
340,43714,Bee Gees,Pop/Rock,1960
341,46925,"Blood, Sweat & Tears",Pop/Rock,1960
342,96964,Boz Scaggs,Pop/Rock,1960
344,110161,Chicago,Pop/Rock,1960
345,130689,Jackson Browne,Pop/Rock,1960
